ind logFC logCPM PValue twd PValue_fdr Decide_test August_1m August_2m August_3m August_4m December_1m December_2m December_3m December_4m
200 ind-200 0.852427048604199 8.30030521318261 0.35389447298364 0.762195993911726 1 0 719 623 818 282 1457 1474 1331 1345
201 ind-201 1.36068956141396 7.37356909954937 0.188054943414987 0.933015396025193 1 0 113 293 194 444 791 867 750 885
202 ind-202 1.61182894224139 8.07250247613097 0.0861114606081832 0.768333604779657 1 0 303 293 428 444 999 1344 1945 1310
203 ind-203 0.212429424834398 7.77372978254653 0.826121640666799 0.845643592943101 1 0 530 660 662 363 1124 433 955 708
204 ind-204 1.25592396313974 7.34586671736773 0.224102459354995 0.936283362186105 1 0 303 256 116 404 832 867 546 920
205 ind-205 -0.859415930831154 8.78418078107105 0.320932373822145 0.679699166927726 1 0 1174 1577 1480 2101 874 1170 1228 1062
206 ind-206 1.35286559403605 7.41198611188641 0.193974700554028 0.94670909221775 1 0 303 146 428 161 1124 607 887 743
207 ind-207 0.442512848405396 8.39717308933944 0.615515171936951 0.708935915775626 1 0 719 660 857 929 1290 1474 1228 1380
208 ind-208 -2.78784237681039 7.46304898264922 0.0090157361296276 0.90639651860052 0.938872135459059 0 492 513 1052 1374 166 173 136 141
209 ind-209 1.59310374981357 7.56613671555016 0.11014270687466 0.861723637409463 1 0 378 183 272 202 1124 954 784 1062
210 ind-210 -1.21690741964803 11.4080861241729 0.138276110490395 0.606160795286319 1 0 9016 12289 9625 11236 6244 4943 5016 6373
211 ind-211 -0.445559094055237 7.02525174780848 0.678845035399264 1.03338787330654 1 0 644 330 389 282 291 216 614 389
212 ind-212 1.26331872156452 6.54542821323428 0.279971296617172 1.1775217406257 1 0 151 220 77 161 457 520 273 566
213 ind-213 0.545017168686313 12.917165559969 0.502190811750311 0.606701411324946 1 0 20382 15517 14691 19360 33473 23939 37610 31548
214 ind-214 0.926562385313955 9.11197373285792 0.274056126472856 0.65040681289331 1 0 1098 1100 974 1050 2456 2862 2423 2301
215 ind-215 -0.133508875752208 6.2491767050636 0.914008202076161 1.30668903200659 1 0 151 146 155 444 249 260 204 283
216 ind-216 -0.621081148341016 8.29595491192039 0.519073128977684 0.838090118536643 1 0 757 1027 1285 1131 499 1517 1194 247
217 ind-217 0.291634528038931 8.39873136547994 0.742493854976463 0.719865286258533 1 0 681 990 974 687 1415 1387 989 1345
218 ind-218 -0.235798676907357 7.18086026557859 0.822655313259696 0.990620581504201 1 0 719 366 389 242 624 303 511 389
219 ind-219 -3.15778865822081 7.3768041404951 0.00405560417459651 0.928579529797366 0.649131775423824 0 530 1063 1169 485 124 130 102 106
